大專院校名稱,補助計畫摘要,補助計畫,補助經費
國立臺北藝術大學,補助師資培育之大學辦理109年度落實教育實習輔導工作計畫經費 03--403010,師資培育與藝術教育行政及督導,306000
國立中正大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,3400000
國立雲林科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,464000
國立清華大學,補助108學年度第2學期僑生學業輔導經費 05--403010,國際及兩岸教育交流,236240
國立臺北護理健康大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,300000
國立高雄師範大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,239183
國立成功大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,257919
國立臺灣體育運動大學,為部分補助109年度大專校院辦理輔導工作計畫（中區學校） 03--403010,學生事務與特殊教育行政及督導,50903
國立臺北商業大學,109年技專校院辦理系(科)所、學位學程品質保證費用補助 04--403010,技術職業教育行政及督導,400000
國立清華大學,109年度領域教學研究中心設置計畫 03--403010,師資培育與藝術教育行政及督導,900000
國立臺南藝術大學,為部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,49760
國立高雄科技大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,230400
國立彰化師範大學,109年度領域教學研究中心設置計畫 03--403010,師資培育與藝術教育行政及督導,720000
國立台灣大學,補助請「醫檢生技教育精進計畫」經費 04--403010,高等教育行政及督導,350000
國立中興大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,2690000
國立勤益科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,379000
國立聯合大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,606000
國立臺北科技大學,為部分補助109年度大專校院辦理輔導工作計畫（北二區學校） 03--403010,學生事務與特殊教育行政及督導,45000
國立臺灣戲曲學院,為部分補助109年度大專校院辦理輔導工作計畫（北二區學校） 03--403010,學生事務與特殊教育行政及督導,25166
國立臺北護理健康大學,為部分補助109年度大專校院辦理輔導工作計畫（北二區學校） 03--403010,學生事務與特殊教育行政及督導,85390
國立臺北商業大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫-北商 01--403010,學生事務與特殊教育行政及督導,270000
國立清華大學,109年度補助大學校院特殊教育中心計畫經費 06--403010,學生事務與特殊教育行政及督導,800000
國立臺灣藝術大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,41657000
國立嘉義大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,86737000
國立中央大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,76926000
國立澎湖科技大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,26616000
國立雲林科技大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,66600000
國立臺北科技大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,69781000
國立臺北護理健康大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,27545000
國立虎尾科技大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,62801000
國立臺南護理專科學校,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,15440000
國立臺灣戲曲學院,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,38728000
國立勤益科技大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,55000000
國立空中大學,109年度國立大學校院教學與研究補助-澎科.雲科.北科.北護.虎科.南護.戲曲.勤益.台藝.嘉義.中央.空大4月 01--403010,國立大學校院教學與研究輔助,14520000
國立聯合大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,43175000
國立政治大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,109985000
國立臺北藝術大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,47128000
國立清華大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,143269000
國立東華大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,90000000
國立臺東專科學校,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,14400000
國立屏東科技大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,59500000
國立臺北商業大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,45000000
國立高雄餐旅大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,24354000
國立臺中科技大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,63000000
國立臺灣科技大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,56650000
國立高雄科技大學,109年國立大學校院教學與研究輔助-聯合.政大.北藝.清華.東華.東專.屏科.北商.高餐.中科.台科.高科4月份 01--403010,國立大學校院教學與研究輔助,209753000
國立臺東大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,38388000
國立臺北教育大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,44369000
國立交通大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,103000000
國立宜蘭大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,37059000
國立金門大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,32122000
國立臺灣體育運動大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,25639000
國立臺灣師範大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,140383000
國立中正大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,65650000
國立體育大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,24770000
國立臺北大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,67233000
國立台灣大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,269000000
國立臺南藝術大學,109年國立大學校院教學與研究輔助-臺東.北教.交大.宜蘭.金門.台體.台師.中正.國體.北大.台大.南藝4月份 01--403010,國立大學校院教學與研究輔助,24539000
國立屏東大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,56763000
國立高雄大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,35500000
國立高雄師範大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,47267000
國立中興大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,121452000
國立彰化師範大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,54703000
國立臺中教育大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,44479000
國立陽明大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,55773000
國立臺灣海洋大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,63988000
國立中山大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,81788000
國立臺南大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,46860000
國立暨南國際大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,43205000
國立成功大學,109年國立大學校院教學與研究輔助-屏東.高雄.高師.中興.彰師.中教.陽明.台海洋.中山.台南.暨南.成功4月份 01--403010,國立大學校院教學與研究輔助,195125000
國立台灣大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,3110000
國立臺灣海洋大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,600000
國立臺北科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,750000
國立臺東大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,200000
國立臺灣體育運動大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--405005,高等教育行政及督導,34650
國立雲林科技大學,109年補助技專校院推動學生參加國際性技藝能競賽計畫 01--403010,技術職業教育行政及督導,2400000
國立屏東大學,為部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,54988
國立彰化師範大學,部分補助109年度中區大專校院學生事務工作計畫申請案 01--403010,學生事務與特殊教育行政及督導,42000
國立臺灣科技大學,為部分補助109年度大專校院辦理輔導工作計畫（北二區學校） 03--403010,學生事務與特殊教育行政及督導,52966
國立中央大學,為部分補助109年度大專校院辦理輔導工作計畫（北一區學校） 03--403010,學生事務與特殊教育行政及督導,106798
國立臺北科技大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,149026
國立臺北教育大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,136400
國立勤益科技大學,為部分補助109年度大專校院辦理輔導工作計畫（中區學校） 03--403010,學生事務與特殊教育行政及督導,59850
國立雲林科技大學,為部分補助109年度大專校院辦理輔導工作計畫（中區學校） 03--403010,學生事務與特殊教育行政及督導,59823
國立中山大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,562000
國立高雄科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,575000
國立清華大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--403010,資訊與科技教育行政及督導,2200000
國立中央大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,1575000
國立雲林科技大學,補助促進產學連結合作育才平臺精進技職教育課程分組計畫 01--403010,技術職業教育行政及督導,3000000
國立屏東科技大學,補助促進產學連結合作育才平臺精進技職教育課程分組計畫 01--403010,技術職業教育行政及督導,3000000
國立臺灣科技大學,補助促進產學連結合作育才平臺精進技職教育課程分組計畫 01--403010,技術職業教育行政及督導,2790133
國立高雄師範大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,466566
國立東華大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,1500000
國立宜蘭大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,550000
國立高雄科技大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,3350000
國立屏東科技大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,550000
國立臺灣海洋大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,4400000
國立臺灣科技大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,600000
國立高雄科技大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,550000
國立高雄師範大學,109年度領域教學研究中心設置計畫 03--403010,師資培育與藝術教育行政及督導,900000
國立政治大學,補助師資培育之大學辦理109年度落實教育實習輔導工作計畫經費 03--403010,師資培育與藝術教育行政及督導,638000
國立中山大學,補助師資培育之大學辦理109年度落實教育實習輔導工作計畫經費 03--403010,師資培育與藝術教育行政及督導,420000
國立交通大學,109年度新工程教育方法實驗與建構計畫-A類計畫補助款 07--403010,資訊與科技教育行政及督導,2300000
國立中興大學,補助國立中興大學109年度「教育機構資訊安全與個人資料保護管理制度驗證中心計畫」 03--403010,資訊與科技教育行政及督導,5994000
國立交通大學,108年至110年美感與設計課程創新計畫 01--403010,師資培育與藝術教育行政及督導,760000
國立臺南大學,109年度領域教學研究中心設置計畫 03--403010,師資培育與藝術教育行政及督導,894000
國立屏東科技大學,部分補助109年度南區大專校院學生事務工作計畫申請案 01--403010,學生事務與特殊教育行政及督導,37000
國立臺北藝術大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,240000
國立成功大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,550000
國立嘉義大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,600000
國立雲林科技大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,550000
國立中央大學,潔能系統整合與應用人才培育區域推動中心計畫 07--403010,資訊與科技教育行政及督導,2563000
國立高雄餐旅大學,109年補助技專校院推動學生參加國際性技藝能競賽計畫 01--403010,技術職業教育行政及督導,750000
國立臺灣師範大學,補助僑生先修部108學年度第2學期僑生學業輔導經費 05--403010,國際及兩岸教育交流,282079
國立中正大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,1025000
國立彰化師範大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,1075000
國立臺灣藝術大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,51200
國立臺南護理專科學校,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,162000
國立高雄師範大學,為部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,39758
國立高雄大學,為部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,31381
國立臺北商業大學,部分補助109年度北二區大專校院學生事務工作計畫申請案 01--403010,學生事務與特殊教育行政及督導,41000
國立宜蘭大學,為部分補助109年度大專校院辦理輔導工作計畫（北一區學校） 03--403010,學生事務與特殊教育行政及督導,31062
國立體育大學,為部分補助109年度大專校院辦理輔導工作計畫（北一區學校） 03--403010,學生事務與特殊教育行政及督導,53776
國立臺中科技大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,83600
國立臺南大學,為部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,55000
國立暨南國際大學,為部分補助109年度大專校院辦理輔導工作計畫（中區學校） 03--403010,學生事務與特殊教育行政及督導,60000
國立臺北科技大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立勤益科技大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,27000
國立臺灣戲曲學院,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立臺中教育大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,27000
國立臺南護理專科學校,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立暨南國際大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,18515
國立中央大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,25000
國立中興大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,27000
國立屏東大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,29997
國立臺北護理健康大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立屏東科技大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,20000
國立高雄師範大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,21493
國立體育大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,28605
國立臺灣體育運動大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立臺北大學,智慧製造跨校跨域教學策略聯盟計畫 07--403010,資訊與科技教育行政及督導,653000
國立勤益科技大學,109年度新工程教育方法實驗與建構計畫-A類計畫補助款 07--403010,資訊與科技教育行政及督導,1350000
國立清華大學,109年度新工程教育方法實驗與建構計畫-A類計畫補助款 07--403010,資訊與科技教育行政及督導,1400000
國立台灣大學,109年度「生醫產業與新農業跨領域人才培育計畫」-A類「生醫產業與新農業學產研鏈結人才培育計畫」 07--403010,資訊與科技教育行政及督導,2250000
國立陽明大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--403010,資訊與科技教育行政及督導,3900000
國立中央大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--403010,資訊與科技教育行政及督導,2200000
國立中興大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--403010,資訊與科技教育行政及督導,2000000
國立臺灣海洋大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--403010,資訊與科技教育行政及督導,2800000
國立中興大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--403010,資訊與科技教育行政及督導,2500000
國立成功大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--403010,資訊與科技教育行政及督導,2000000
國立臺東大學,109年度領域教學研究中心設置計畫 03--403010,師資培育與藝術教育行政及督導,900000
國立交通大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,1925000
國立臺灣師範大學,補助108學年度第2學期僑生學業輔導經費 05--403010,國際及兩岸教育交流,19099
國立中山大學,補助108學年度第2學期僑生學業輔導經費 05--403010,國際及兩岸教育交流,58784
國立臺北商業大學,補助108學年度第2學期僑生學業輔導經費 05--403010,國際及兩岸教育交流,28149
國立雲林科技大學,補助促進產學連結合作育才平臺精進技職教育課程分組計畫 01--403010,技術職業教育行政及督導,2000000
國立高雄科技大學,補助促進產學連結合作育才平臺精進技職教育課程分組計畫 01--403010,技術職業教育行政及督導,3000000
國立中山大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,350000
國立臺灣藝術大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,225000
國立金門大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,161196
國立臺北科技大學,補助促進產學連結合作育才平臺精進技職教育課程分組計畫 01--403010,技術職業教育行政及督導,2976181
國立臺北大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,76480
國立臺南大學,109年度補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,22966
國立政治大學,109年度補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立臺灣海洋大學,109年度補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,29806
國立臺中科技大學,部分補助109年度大專校院辦理輔導工作計畫（中區學校） 03--403010,學生事務與特殊教育行政及督導,52161
國立政治大學,部分補助109年度大專校院辦理輔導工作計畫（北一區學校） 03--403010,學生事務與特殊教育行政及督導,43000
國立臺北大學,部分補助109年度大專校院辦理輔導工作計畫（北一區學校） 03--403010,學生事務與特殊教育行政及督導,39960
國立臺灣戲曲學院,補助辦理「推廣藝術教育計畫」 02--403010,技術職業教育行政及督導,4200000
國立清華大學,(高教深耕-附件2)109年1-7月補助大專校院原住民族學生資源中心計畫經費 03--403010,一般行政,313500
國立屏東大學,(高教深耕-附件2)109年1-7月補助大專校院原住民族學生資源中心計畫經費 03--403010,一般行政,323400
國立清華大學,大專校院(一般大學)辦理教學助理勞保費、健保費、勞退費及衍生增加進用身心障礙者之人事費 04--403010,高等教育行政及督導,1575000
國立高雄大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,240000
國立台灣大學,部分補助辦理108第1期人文社會與科技前瞻人才培育計畫經費(第2期款) 07--403010,資訊與科技教育行政及督導,1194238
國立臺北護理健康大學,部分補助辦理108第1期人文社會與科技前瞻人才培育計畫經費(第2期款) 07--403010,資訊與科技教育行政及督導,1120000
國立臺北大學,部分補助辦理108第1期人文社會與科技前瞻人才培育計畫經費(第2期款) 07--403010,資訊與科技教育行政及督導,1520000
國立臺灣師範大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,300000
國立交通大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,137021
國立臺北大學,部分補助109年度北一區大專校院學生事務工作計畫 01--403010,學生事務與特殊教育行政及督導,50000
國立金門大學,部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,75482
國立高雄科技大學,部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,57000
國立彰化師範大學,部分補助109年度大專校院辦理輔導工作計畫（中區學校） 03--403010,學生事務與特殊教育行政及督導,52113
國立臺東大學,部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,20600
國立高雄餐旅大學,部分補助109年度大專校院辦理輔導工作計畫（南區學校） 03--403010,學生事務與特殊教育行政及督導,51928
國立臺東大學,109年度補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,17709
國立彰化師範大學,109年度補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立臺北大學,109年度補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立金門大學,109年度補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,29800
國立彰化師範大學,部分補助108學年度師資培育之大學申請辦理地方教育輔導工作計畫及經費案(第2期款) 05--403010,師資培育與藝術教育行政及督導,700000
國立雲林科技大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,29357
國立嘉義大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,30000
國立勤益科技大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,16116
國立彰化師範大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,239216
國立嘉義大學,109年度補助公立大專校院學生事務與輔導工作特色主題計畫 01--403010,學生事務與特殊教育行政及督導,207729
國立澎湖科技大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,27000
國立臺灣師範大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,26949
國立中正大學,109年度教育部補助大專校院辦理自殺防治守門人培訓計畫 03--403010,學生事務與特殊教育行政及督導,29997
國立臺灣師範大學,為部分補助109年度大專校院辦理輔導工作計畫（北一區學校） 03--403010,學生事務與特殊教育行政及督導,123500
